,Q3,Q4,Q5,Q6,Q7,Q10,Q12,Q14,Q16,Q18,Q21,Q22,Q23,Q24,Q25,Q27,Q28,Q29,Q30,Q31,Q33,Q34,Q35,Q36,Q37
298,6,7,4,1,6,1,1,1,1,4,7,7,7,4,5,1,1,3,1,1,3,3,1,2,1
299,1,2,1,1,1,5,1,1,1,3,4,1,1,1,1,1,2,7,1,2,6,5,1,1,1
300,5,6,1,1,1,7,3,3,2,5,3,5,1,2,6,1,6,7,4,5,5,7,3,1,3
301,3,3,1,1,1,2,1,1,1,1,5,2,2,2,5,1,4,2,1,2,1,5,4,1,1
302,5,7,2,1,4,5,3,1,1,4,7,2,2,2,3,1,6,5,3,5,5,3,5,3,5
303,5,5,4,3,3,2,3,2,1,5,5,4,3,6,5,1,7,2,1,1,4,6,4,2,1
304,1,7,1,1,4,3,1,1,1,5,6,1,4,4,5,1,7,6,2,2,3,5,4,1,1
305,2,6,5,2,5,2,1,1,1,5,4,2,2,1,1,1,7,6,7,7,3,3,7,3,1
306,3,7,4,1,1,6,1,1,1,6,6,1,1,2,4,1,7,7,7,7,2,5,7,1,1
307,1,5,1,1,5,6,4,3,5,5,4,2,5,4,6,2,7,7,5,6,5,6,5,5,3
308,2,5,1,1,1,2,1,1,1,3,4,1,1,1,2,1,1,2,1,1,1,1,1,1,1
309,1,6,1,1,1,3,1,1,1,5,4,1,1,1,3,1,6,6,2,3,2,6,3,1,1
310,1,1,1,1,1,5,1,2,1,3,1,1,1,3,1,1,7,7,7,7,1,4,4,4,1
311,1,7,4,1,6,5,2,1,1,2,7,1,1,6,7,1,7,7,2,4,4,1,5,3,6
312,4,7,4,1,7,1,1,1,1,1,1,1,1,1,2,1,7,7,1,1,1,1,1,1,1
313,5,6,2,1,5,6,4,1,1,6,7,1,4,5,6,1,5,2,1,3,2,3,1,2,1
314,3,5,5,1,3,3,1,1,1,5,4,1,2,3,5,1,5,5,3,5,4,6,6,1,1
315,3,6,4,1,4,5,1,3,1,4,4,3,4,3,6,4,5,5,3,3,4,4,2,3,2
316,5,5,4,2,4,3,2,3,2,2,5,4,3,2,2,1,4,4,4,4,3,4,3,3,3
317,5,7,3,1,1,5,1,2,1,2,2,1,1,1,3,1,7,7,7,7,1,2,3,1,1
318,2,6,5,1,2,6,1,1,1,5,7,5,5,2,6,1,5,3,2,2,2,2,2,2,1
319,1,5,1,1,1,1,1,7,1,1,1,7,7,2,5,1,1,6,5,6,1,7,5,6,2
320,6,7,6,1,1,5,3,4,4,6,5,5,5,7,5,3,2,2,5,5,3,5,3,1,1
321,5,7,7,3,5,6,3,3,3,5,6,2,3,2,5,2,6,6,2,2,2,5,3,3,2
322,2,5,5,1,3,2,1,1,1,3,3,2,1,2,3,2,5,5,2,4,3,6,3,1,1
323,5,7,1,1,1,5,1,1,1,5,5,1,1,1,5,1,7,7,1,1,1,5,4,1,1
324,5,7,1,1,1,5,1,1,1,5,5,1,1,1,5,1,7,7,1,1,1,5,4,1,1
325,5,7,1,1,1,5,1,1,1,5,5,1,1,1,5,1,7,7,1,1,1,5,4,1,1
326,4,6,1,1,2,6,1,1,1,5,5,1,1,1,5,1,7,7,1,1,1,5,4,1,1
327,5,7,1,1,1,5,1,1,1,5,5,1,1,1,5,1,7,7,1,1,1,5,4,1,1
328,5,7,1,1,1,5,1,1,1,5,5,1,1,1,5,1,7,7,1,1,1,5,4,1,1
329,6,2,5,7,7,3,6,6,7,7,5,6,4,6,6,6,1,4,6,5,4,4,4,4,6
